# 全唐诗 + 宋词 的作者名录，来自 chinese-poetry（公有领域原文）。
# works = 上游收录篇数；on_site = 本站已有篇数。用来挑该补谁。
collection	author	works	on_site
唐诗	白居易	3009	19
唐诗	杜甫	1489	67
唐诗	李白	1207	144
唐诗	元稹	910	12
唐诗	不详	886	258
唐诗	刘禹锡	886	15
唐诗	齐己	826	0
唐诗	贯休	743	0
唐诗	易静	721	0
唐诗	无名氏	684	1
唐诗	陆龟蒙	635	22
唐诗	李商隐	616	36
唐诗	韦应物	586	18
唐诗	王建	580	28
唐诗	张祜	565	32
唐诗	杜牧	544	13
唐诗	钱起	541	4
唐诗	许浑	537	2
唐诗	姚合	534	0
唐诗	孟郊	532	23
唐诗	刘长卿	531	23
唐诗	罗隐	515	4
唐诗	张籍	489	26
唐诗	皎然	488	1
唐诗	皮日休	442	0
唐诗	韩愈	440	15
唐诗	温庭筠	430	16
唐诗	贾岛	421	2
唐诗	张说	419	39
唐诗	司空图	415	1
唐诗	岑参	411	14
唐诗	王维	403	43
唐诗	权德舆	395	1
唐诗	韦庄	380	4
唐诗	薛能	363	5
唐诗	方干	359	0
唐诗	卢纶	353	9
唐诗	王梵志	353	0
唐诗	韩偓	349	2
唐诗	杜荀鹤	337	2
唐诗	郑谷	334	2
唐诗	吕岩	327	0
唐诗	戴叔伦	314	5
唐诗	寒山	314	0
唐诗	李中	310	0
唐诗	徐铉	309	0
唐诗	吴融	308	0
唐诗	李贺	294	31
唐诗	赵嘏	291	0
唐诗	李端	280	14
唐诗	孟浩然	274	17
唐诗	顾况	269	16
唐诗	李群玉	268	3
唐诗	高适	268	11
唐诗	徐夤	268	0
唐诗	佚名	260	0
唐诗	皇甫冉	252	4
唐诗	宋之问	232	6
唐诗	储光羲	232	5
唐诗	施肩吾	227	3
唐诗	李峤	225	1
唐诗	张九龄	223	6
唐诗	王昌龄	222	22
唐诗	鲍溶	216	13
唐诗	李频	212	1
唐诗	黄滔	209	0
唐诗	庞蕴	205	0
唐诗	柳宗元	202	22
唐诗	唐彦谦	200	0
唐诗	武元衡	198	0
唐诗	李咸用	196	0
唐诗	周昙	195	0
唐诗	杜光庭	190	0
唐诗	李益	185	12
唐诗	沈佺期	182	19
唐诗	马戴	180	6
唐诗	陈陶	178	1
唐诗	朱庆余	178	2
唐诗	耿𣲗	177	0
唐诗	司空曙	175	4
唐诗	张乔	173	1
唐诗	李洞	172	0
唐诗	杨巨源	171	3
