相似	类别	留id	留题	留作者	留来源	删id	删题	删作者	删来源
1.0	乐府栏目重出	9b6a76b62698	长门怨	徐贤妃	导入	c0996a2d4877	相和歌辞 长门怨	徐贤妃	导入
1.0	乐府栏目重出	c109b3fe24fa	清平调 二	李白	导入	94bf08ac51ca	杂曲歌辞 清平调 二	李白	导入
1.0	精编撞导入	d65bc6ecb569	游子吟	孟郊	精编	55f142c2c6b5	杂曲歌辞 游子吟	孟郊	导入
1.0	乐府栏目重出	a598733b967a	秋夜曲	王涯	导入	4e861b0b3337	杂曲歌辞 秋夜曲	王涯	导入
1.0	乐府栏目重出	490d25d58165	列女操	孟郊	导入	668575bcde9f	琴曲歌辞 列女操	孟郊	导入
1.0	同文异题	2fd6370051e1	孟子·梁惠王下 其10	孟子	导入	6728507fbc59	孟子·梁惠王下 其42	孟子	导入
1.0	乐府栏目重出	8b01e2dd242a	清平调 一	李白	导入	2b06c095d085	杂曲歌辞 清平调 一	李白	导入
1.0	精编撞导入	d5b6cb5adfd9	江雪	柳宗元	精编	232015a1d64e	江雪	柳宗元	导入
1.0	同文异题	025280f81360	孟子·梁惠王上 其12	孟子	导入	59029443eb2d	孟子·梁惠王上 其14	孟子	导入
0.991	乐府栏目重出	88c488ac7646	蜀道难	李白	导入	7d55f4f4632c	相和歌辞 蜀道难	李白	导入
0.99	乐府栏目重出	420109e8a0a5	关山月	李白	导入	34db8f71166a	横吹曲辞 关山月	李白	导入
0.989	乐府栏目重出	f2d66e7656fc	行路难三首 三	李白	导入	f6005bcc3a78	杂曲歌辞 行路难三首 三	李白	导入
0.985	乐府栏目重出	7ac767c79d2b	饮马长城窟行	太宗皇帝	导入	095580a994e0	相和歌辞 饮马长城窟行	太宗皇帝	导入
0.985	乐府栏目重出	da2ec26de2de	丽人行	杜甫	导入	8a6c5137b859	杂曲歌辞 丽人行	杜甫	导入
0.984	乐府栏目重出	125ea3427657	出塞二首 一	王昌龄	导入	cd24a0870028	横吹曲辞 出塞 一	王昌龄	导入
0.981	乐府栏目重出	03610dc0a466	行路难三首 二	李白	导入	8a51f3c4e814	杂曲歌辞 行路难三首 二	李白	导入
0.978	乐府栏目重出	7f5ca4bed7a3	将进酒	李白	导入	140067bf4cf0	鼓吹曲辞 将进酒	李白	导入
0.965	乐府栏目重出	889aa32dab73	行路难三首 一	李白	导入	29ba2b743e4d	杂曲歌辞 行路难三首 一	李白	导入
0.964	精编撞导入	f0336b7181a0	送杜少府之任蜀州	王勃	精编	e68e5e0a9c78	杜少府之任蜀州	王勃	导入
0.956	乐府栏目重出	1d98c2f7f35b	江南词	李益	导入	9322d7f20069	相和歌辞 江南曲	李益	导入
0.956	乐府栏目重出	428dd27d1022	清平调 三	李白	导入	82baf68c0cfa	杂曲歌辞 清平调 三	李白	导入
0.946	乐府栏目重出	f54e7ca16f82	长干曲四首 一	崔颢	导入	d1c710c4a524	杂曲歌辞 长干曲四首 一	崔颢	导入
0.945	同文异题	6bbc6b0f4efd	菩萨蛮·回文	纳兰性德	导入	43dfa03a5745	菩萨蛮·雾窗寒对遥天暮	纳兰性德	导入
0.941	乐府栏目重出	c7c99adae9cc	长相思	李白	导入	73bb5ffef8c5	杂曲歌辞 长相思三首 一	李白	导入
0.928	乐府栏目重出	d6f3bb94ec34	古从军行	李颀	导入	8ddb2583f7b5	相和歌辞 从军行	李颀	导入
0.924	精编是节选	aec36ff73546	关雎	佚名	精编	4c205b221502	关雎	佚名	精编
0.916	乐府栏目重出	db191efeb0c1	渭城曲	王维	导入	ab79377c27df	杂曲歌辞 渭城曲	王维	导入
0.904	乐府栏目重出	16b61db18940	长干曲四首 二	崔颢	导入	12f5eb0a3661	杂曲歌辞 长干曲四首 二	崔颢	导入
0.9	精编撞导入	6c1f9747d167	静夜思	李白	精编	856db2260aa8	静夜思	李白	导入
0.893	乐府栏目重出	fd9dae1effa8	玉阶怨	李白	导入	da8a36ee4b74	相和歌辞 玉阶怨	李白	导入
0.887	同文异题	8b01e2dd242a	清平调 一	李白	导入	f1e4db3040e1	清平调词三首 一	李白	导入
0.881	精编撞导入	4dbf4f2c9d86	相思	王维	精编	13acd591aced	相思	王维	导入
0.845	乐府栏目重出	67c905988446	古意呈补阙乔知之	沈佺期	导入	7974bb569478	杂曲歌辞 独不见	沈佺期	导入
0.82	同文异题	f44cb2bfc879	郊庙歌辞 封泰山乐章 凯安	张说	导入	7a4a5b3f263e	郊庙歌辞 享太庙乐章 凯安四章 四	张说	导入
0.805	乐府栏目重出	07b58bf52dce	子夜吴歌 冬歌	李白	导入	493792a72394	相和歌辞 子夜四时歌四首 冬歌	李白	导入
0.801	乐府栏目重出	8f8a1e814f54	子夜吴歌 春歌	李白	导入	c8bf815eecb7	相和歌辞 子夜四时歌四首 春歌	李白	导入
0.786	乐府栏目重出	4b9ab6d88e19	子夜吴歌 秋歌	李白	导入	1338d2433657	相和歌辞 子夜四时歌四首 秋歌	李白	导入
0.785	乐府栏目重出	5cf8978c55c5	子夜吴歌 夏歌	李白	导入	a82b1dfb7ea9	相和歌辞 子夜四时歌四首 夏歌	李白	导入
0.667	乐府栏目重出	5e9961c86fa6	凉州词二首 一	王之涣	导入	d49251ebd5a7	横吹曲辞 出塞	王之涣	导入
0.65	同文异题	497ab60f904e	论语·学而篇 其3	孔子及弟子	导入	9ca57684b7c0	论语·阳货篇 其17	孔子及弟子	导入
