相似	类别	idA	题A	作者A	字数A	idB	题B	作者B	字数B
1.0	归属存疑	c5c17fe63afc	春宫怨	周朴	40	ff8a45920604	春宫怨	杜荀鹤	40
1.0	传本异文	582cbb193cbe	菩萨蛮·隔花才歇廉纤雨	纳兰性德	44	bbe950271f18	菩萨蛮·隔花才歇帘纤雨	纳兰性德	44
1.0	归属存疑	57545aa253c2	行宫	元稹	20	7ce4c8aa6460	故行宫	王建	20
0.98	归属存疑	5a763ceb25fa	赤壁	李商隐	28	927fc9bf4a8f	赤壁	杜牧	28
0.973	归属存疑	7c1165bef5f2	唐武氏享先庙乐章	则天皇后	71	8ac87402c58b	郊庙歌辞 武后崇先庙乐章	不详	71
0.966	归属存疑	48d5dc1b9ee8	和张仆射塞下曲	钱起	20	642b20f13ed3	和张仆射塞下曲 三	卢纶	20
0.961	归属存疑	6fd76a362388	新年作	刘长卿	40	be0987d8d89f	新年作	宋之问	40
0.953	归属存疑	b224d956f6ed	关山月	鲍氏君徽	60	c96e00211173	横吹曲辞 关山月	鲍氏君[徽]微	60
0.95	归属存疑	11be49e61b74	和晋陵陆丞早春游望	韦应物	40	7a93bab74f88	和晋陵陆丞早春游望	杜审言	40
0.942	归属存疑	32445103ed01	登鹳雀楼	王之涣	20	d0e5c2a9fa8d	登楼	朱斌	20
0.938	传本异文	18bdb4817702	琴曲歌辞 霍将军	崔颢	70	6d70a1676fb9	横吹曲辞 长安道	崔颢	70
0.937	归属存疑	9c504631c64f	唐明堂乐章 皇嗣出入升降	则天皇后	32	d6633adc7415	郊庙歌辞 武后明堂乐章 皇嗣出入升降	武则天	32
0.929	归属存疑	6bfc24dd715b	唐明堂乐章 宫音	则天皇后	40	7ebba2a7237b	郊庙歌辞 武后明堂乐章 宫音	武则天	40
0.927	归属存疑	45f6d4b4a066	郊庙歌辞 武后明堂乐章 外办将出	武则天	40	fc62529ac953	唐明堂乐章 外办将出	则天皇后	40
0.924	归属存疑	6310b1fcf8c7	寄人 一	张泌	28	fb0c252c9ed8	寄人二首  其一	张佖	28
0.924	传本异文	65abd3c0933d	孟子·滕文公上 其19	孟子	11	c1eb4877d1d1	孟子·滕文公上 其22	孟子	10
